ticker,name,current_price,entry_price,score,contraction_ratio,foreign_5d,inst_5d,signal_date
334890,이지스밸류플러스리츠,4290,4290,98.4,0.054,992525003,276192976,2026-02-16
185750,종근당,94000,94000,95.8,0.139,3320109500,6710374550,2026-02-16
004360,세방,15350,15350,93.8,0.141,1116474130,-310251310,2026-02-16
0105P0,유진스팩12호,2030,2030,91.8,0.023,7666161,241267290,2026-02-16
088260,이리츠코크렙,4745,4745,91.6,0.068,-119545465,486576543,2026-02-16
468760,유진스팩10호,2115,2115,89.1,0.021,634435,-28627580,2026-02-16
000220,유유제약,4500,4500,89.0,0.1,197073941,-162460,2026-02-16
120030,조선선재,105300,105300,88.8,0.091,-18284000,170849000,2026-02-16
012280,영화금속,982,982,88.8,0.095,182186497,-18336724,2026-02-16
034590,인천도시가스,26450,26450,88.6,0.045,17258775,-17622525,2026-02-16
446070,유니드비티플러스,3235,3235,88.4,0.105,154967780,-179485,2026-02-16
044380,주연테크,399,399,88.1,0.069,21164666,-43141,2026-02-16
002620,제일파마홀딩스,8130,8130,88.1,0.06,253090,-8061560,2026-02-16
072130,유엔젤,4760,4760,88.0,0.139,226034744,-10426186,2026-02-16
271940,일진하이솔루스,14310,14310,88.0,0.133,521111640,-319378885,2026-02-16
000225,유유제약1우,4715,4715,87.9,0.077,19663315,0,2026-02-16
007310,오뚜기,402500,402500,87.9,0.069,3456723750,2889545000,2026-02-16
044960,이글벳,4385,4385,87.5,0.132,164812417,-17139709,2026-02-16
030000,제일기획,22200,22200,87.4,0.088,4724290050,4847458850,2026-02-16
000100,유한양행,108800,108800,87.3,0.091,30183799250,-7764483300,2026-02-16
069330,유아이디,1050,1050,87.2,0.095,9381663,0,2026-02-16
214320,이노션,20350,20350,86.9,0.102,788273195,1850838770,2026-02-16
084680,이월드,1688,1688,86.7,0.148,164683119,-50103073,2026-02-16
303530,이노뎁,4980,4980,86.6,0.124,32954040,30,2026-02-16
004490,세방전지,66900,66900,86.6,0.114,2284004200,614662600,2026-02-16
015020,이스타코,519,519,86.1,0.139,21091038,-37137,2026-02-16
008730,율촌화학,27650,27650,85.9,0.138,366174625,687759525,2026-02-16
126720,수산인더스트리,26400,26400,85.6,0.146,765055425,1770212725,2026-02-16
033270,유나이티드제약,20000,20000,82.4,0.103,442867560,101071740,2026-02-16
023800,인지컨트롤스,7380,7380,82.3,0.094,520939955,-8419770,2026-02-16
226320,잇츠한불,11850,11850,80.2,0.107,377108380,-39757515,2026-02-16
000105,유한양행우,93600,93600,79.8,0.09,158086250,88126100,2026-02-16
003520,영진약품,1877,1877,79.8,0.059,168725450,-8158632,2026-02-16
048430,유라테크,8370,8370,79.3,0.105,245493140,0,2026-02-16
000910,유니온,4400,4400,79.1,0.067,116939715,-4260025,2026-02-16
493790,유안타제17호스팩,2025,2025,79.1,0.02,48480,-30987670,2026-02-16
002600,조흥,160100,160100,79.0,0.033,800100,-2052500,2026-02-16
462520,조선내화,13860,13860,78.2,0.073,46799715,-8527245,2026-02-16
004430,송원산업,9530,9530,78.2,0.122,176198010,9807540,2026-02-16
089850,유비벨록스,5520,5520,78.2,0.08,62788140,-4443490,2026-02-16
013000,세우글로벌,1126,1126,78.0,0.067,1041066,-174197,2026-02-16
011320,유니크,4275,4275,77.7,0.111,107758495,-9044285,2026-02-16
350520,이지스레지던스리츠,3870,3870,77.6,0.043,196683765,-305800556,2026-02-16
102460,이연제약,11460,11460,76.9,0.142,117035005,-6469410,2026-02-16
004985,성신양회우,11860,11860,76.3,0.125,3991050,25010,2026-02-16
011330,유니켐,1214,1214,76.0,0.15,137695163,-90423008,2026-02-16
900140,엘브이엠씨홀딩스,1551,1551,75.3,0.136,-84853317,20022214,2026-02-16
306200,세아제강,127100,127100,75.2,0.119,-253352700,128003900,2026-02-16
